Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Digi-Key Programmable,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Program Memory / RAM
https://www.st.com/content/ccc/resource/technical/document/datasheet/a4/5d/0b/0e/87/c4/4d/71/DM00088500.pdf/files/DM00088500.pdf/jcr:content/translations/en.DM00088500.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;-YA_ME;-P;-20.jpg,"497-17333-2-ND,497-17333-1-ND,497-17333-6-ND",STM32F030F4P6TR,STMicroelectronics,STMicroelectronics,IC MCU 32BIT 16KB FLASH 20TSSOP,45993,1.67,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",STM32F0,Active,Not Verified,ARM® Cortex®-M0,32-Bit Single-Core,48MHz,"I²C, SPI, UART/USART","DMA, POR, PWM, WDT",15,16KB (16K x 8),FLASH,-,4K x 8,2.4V ~ 3.6V,A/D 11x12b,Internal,-40°C ~ 85°C (TA),Surface Mount,"20-TSSOP (0.173"", 4.40mm Width)",20-TSSOP,4
https://www.st.com/resource/en/datasheet/stm32g030f6.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;-YA_ME;-P;-20.jpg,"497-STM32G030F6P6TR-ND,497-STM32G030F6P6TRCT-ND,497-STM32G030F6P6TRDKR-ND",STM32G030F6P6TR,STMicroelectronics,STMicroelectronics,IC MCU 32BIT 32KB FLASH 20TSSOP,12513,1.67,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",STM32G0,Active,Not Verified,ARM® Cortex®-M0+,32-Bit Single-Core,64MHz,"I²C, IrDA, LINbus, SPI, UART/USART","DMA, I²S, POR, PWM, WDT",17,32KB (32K x 8),FLASH,-,8K x 8,2V ~ 3.6V,A/D 16x12b,Internal,-40°C ~ 85°C (TA),Surface Mount,"20-TSSOP (0.173"", 4.40mm Width)",20-TSSOP,4
https://www.st.com/resource/en/datasheet/stm32g030f6.pdf,//media.digikey.com/Renders/STMicro%20Renders/497~5V_ME~C~32.JPG,"497-STM32G030K6T6TR-ND,497-STM32G030K6T6TRCT-ND,497-STM32G030K6T6TRDKR-ND",STM32G030K6T6TR,STMicroelectronics,STMicroelectronics,IC MCU 32BIT 32KB FLASH 32LQFP,5084,1.92,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",STM32G0,Active,Not Verified,ARM® Cortex®-M0+,32-Bit Single-Core,64MHz,"I²C, IrDA, LINbus, SPI, UART/USART","DMA, I²S, POR, PWM, WDT",29,32KB (32K x 8),FLASH,-,8K x 8,2V ~ 3.6V,A/D 18x12b,Internal,-40°C ~ 85°C (TA),Surface Mount,32-LQFP,32-LQFP (7x7),4
https://www.st.com/content/ccc/resource/technical/document/datasheet/a4/5d/0b/0e/87/c4/4d/71/DM00088500.pdf/files/DM00088500.pdf/jcr:content/translations/en.DM00088500.pdf,//media.digikey.com/Renders/STMicro%20Renders/497~5B_ME_V2~T~48.jpg,"497-17330-2-ND,497-17330-1-ND,497-17330-6-ND",STM32F030C6T6TR,STMicroelectronics,STMicroelectronics,IC MCU 32BIT 32KB FLASH 48LQFP,9461,2.35,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",STM32F0,Active,Not Verified,ARM® Cortex®-M0,32-Bit Single-Core,48MHz,"I²C, SPI, UART/USART","DMA, POR, PWM, WDT",39,32KB (32K x 8),FLASH,-,4K x 8,2.4V ~ 3.6V,A/D 12x12b,Internal,-40°C ~ 85°C (TA),Surface Mount,48-LQFP,48-LQFP (7x7),8
https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/Atmel-42414-SAM-D09_Summary.pdf,//media.digikey.com/Renders/Atmel%20Renders/24-QFN-6_543-5122_01-4.jpg,"ATSAMD09D14A-MUTTR-ND,ATSAMD09D14A-MUTCT-ND,ATSAMD09D14A-MUTDKR-ND",ATSAMD09D14A-MUT,Microchip Technology,Microchip Technology,IC MCU 32BIT 16KB FLASH 24QFN,18904,1.5,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",SAM D09D,Active,Not Verified,ARM® Cortex®-M0+,32-Bit Single-Core,48MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, WDT",22,16KB (16K x 8),FLASH,-,4K x 8,1.62V ~ 3.63V,A/D 10x12b,Internal,-40°C ~ 85°C (TA),Surface Mount,24-VFQFN Exposed Pad,24-QFN (4x4),4
https://www.infineon.com/dgdl/Infineon-xmc1100_AB-DS-v01_06-EN.pdf?fileId=5546d4624a0bf290014a4bdaff9325bd&ack=t,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16.jpg,"XMC1100T016F0064ABXUMA1TR-ND,XMC1100T016F0064ABXUMA1CT-ND,XMC1100T016F0064ABXUMA1DKR-ND",XMC1100T016F0064ABXUMA1,Infineon Technologies,Infineon Technologies,IC MCU 32BIT 64KB FLASH 16TSSOP,12073,2.77,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",XMC1000,Active,Not Verified,ARM® Cortex®-M0,32-Bit Single-Core,32MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, I²S, POR, PWM, WDT",11,64KB (64K x 8),FLASH,-,16K x 8,1.8V ~ 5.5V,A/D 6x12b,Internal,-40°C ~ 85°C (TA),Surface Mount,"16-TSSOP (0.173"", 4.40mm Width)",PG-TSSOP-16-8,4
https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42242-SAM-D10_Summary.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-SOIC.jpg,"ATSAMD10C14A-SSNTTR-ND,ATSAMD10C14A-SSNTCT-ND,ATSAMD10C14A-SSNTDKR-ND",ATSAMD10C14A-SSNT,Microchip Technology,Microchip Technology,IC MCU 32BIT 16KB FLASH 14SOIC,27417,1.54,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",SAM D10C,Active,Not Verified,ARM® Cortex®-M0+,32-Bit Single-Core,48MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, WDT",12,16KB (16K x 8),FLASH,-,4K x 8,1.62V ~ 3.63V,A/D 5x12b; D/A 1x10b,Internal,-40°C ~ 105°C (TA),Surface Mount,"14-SOIC (0.154"", 3.90mm Width)",14-SOIC,4
https://www.st.com/content/ccc/resource/technical/document/datasheet/a4/5d/0b/0e/87/c4/4d/71/DM00088500.pdf/files/DM00088500.pdf/jcr:content/translations/en.DM00088500.pdf,//media.digikey.com/Renders/STMicro%20Renders/497~5B_ME_V2~T~48.jpg,"497-17331-2-ND,497-17331-1-ND,497-17331-6-ND",STM32F030C8T6TR,STMicroelectronics,STMicroelectronics,IC MCU 32BIT 64KB FLASH 48LQFP,33282,2.85,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",STM32F0,Active,Not Verified,ARM® Cortex®-M0,32-Bit Single-Core,48MHz,"I²C, SPI, UART/USART","DMA, POR, PWM, WDT",39,64KB (64K x 8),FLASH,-,8K x 8,2.4V ~ 3.6V,A/D 12x12b,Internal,-40°C ~ 85°C (TA),Surface Mount,48-LQFP,48-LQFP (7x7),8
https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42242-SAM-D10_Summary.pdf,"//media.digikey.com/Renders/Microchip%20Tech%20Renders/150~20SOIC-7,5~S~20.JPG","ATSAMD10D14A-SSUTTR-ND,ATSAMD10D14A-SSUTCT-ND,ATSAMD10D14A-SSUTDKR-ND",ATSAMD10D14A-SSUT,Microchip Technology,Microchip Technology,IC MCU 32BIT 16KB FLASH 20SOIC,2093,1.62,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",SAM D10D,Active,Not Verified,ARM® Cortex®-M0+,32-Bit Single-Core,48MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, WDT",18,16KB (16K x 8),FLASH,-,4K x 8,1.62V ~ 3.63V,A/D 8x12b; D/A 1x10b,Internal,-40°C ~ 85°C (TA),Surface Mount,"20-SOIC (0.295"", 7.50mm Width)",20-SOIC,4
https://www.st.com/resource/en/datasheet/stm32l011f3.pdf,//media.digikey.com/Renders/STMicro%20Renders/20-UFQFPN.jpg,"497-17478-2-ND,497-17478-1-ND,497-17478-6-ND",STM32L011F4U6TR,STMicroelectronics,STMicroelectronics,IC MCU 32BIT 16KB FLASH 20UFQFPN,37786,2.91,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",STM32L0,Active,Not Verified,ARM® Cortex®-M0+,32-Bit Single-Core,32MHz,"I²C, IrDA, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",16,16KB (16K x 8),FLASH,512 x 8,2K x 8,1.65V ~ 3.6V,A/D 7x12b,Internal,-40°C ~ 85°C (TA),Surface Mount,20-UFQFN,20-UFQFPN (3x3),8
